"weight";"word";"color";"url"
"5942";"vacin";"";""
"5909";"pra";"";""
"4849";"vírus";"";""
"4099";"tod";"";""
"3505";"vai";"";""
"3414";"mort";"";""
"3242";"brasil";"";""
"3011";"faz";"";""
"2974";"pesso";"";""
"2941";"contr";"";""
"2918";"pod";"";""
"2914";"cas";"";""
"2864";"coron";"";""
"2812";"quer";"";""
"2781";"morr";"";""
"2697";"tá";"";""
"2647";"ser";"";""
"2564";"govern";"";""
"2425";"dia";"";""
"2284";"deus";"";""
"2259";"gent";"";""
"2185";"tom";"";""
"2144";"fic";"";""
"2120";"pandem";"";""
"2074";"fal";"";""
"1905";"pass";"";""
"1897";"hoj";"";""
"1828";"ter";"";""
"1816";"agor";"";""
"1782";"peg";"";""
