    topic        term        beta
1       1    parabéns 0.013867641
2       1        olha 0.010771360
3       1         man 0.008695655
4       1      absurd 0.008009597
5       1      infern 0.007884105
6       2     desgrac 0.011250843
7       2      certez 0.011191135
8       2      caralh 0.008971873
9       2      canalh 0.007556757
10      2     tristez 0.006348347
11      3      absurd 0.013584929
12      3      certez 0.012295184
13      3     vergonh 0.010853172
14      3    parabéns 0.009420535
15      3      caralh 0.006138286
16      4     vergonh 0.014900793
17      4     desgrac 0.011754918
18      4      caralh 0.011458574
19      4      certez 0.009945254
20      4        olha 0.008982649
21      5         man 0.014162100
22      5     tristez 0.010175886
23      5        olha 0.008674463
24      5        odei 0.008389445
25      5      certez 0.008330734
26      6    parabéns 0.014052585
27      6     desgrac 0.013095150
28      6        odei 0.011119756
29      6     vergonh 0.010862477
30      6        sonh 0.010750782
31      7        olha 0.015532906
32      7        odei 0.011447649
33      7      certez 0.008742385
34      7         man 0.008110165
35      7    parabéns 0.007937194
36      8     vergonh 0.016811687
37      8     desgrac 0.014097077
38      8      caralh 0.012581930
39      8      certez 0.011580754
40      8        sonh 0.009745820
41      9      caralh 0.012837854
42      9      absurd 0.011741037
43      9     vergonh 0.010414703
44      9      certez 0.009980388
45      9        olha 0.008587734
46     10    parabéns 0.016361501
47     10        olha 0.013426168
48     10      caralh 0.012302889
49     10      absurd 0.011907202
50     10     desgrac 0.009209072
51     11     vergonh 0.013747183
52     11    parabéns 0.012644468
53     11        olha 0.010404641
54     11     tristez 0.010153346
55     11      absurd 0.009501561
56     12        olha 0.012600318
57     12      caralh 0.011795830
58     12        odei 0.010377590
59     12         man 0.008478191
60     12      canalh 0.007032388
61     13        olha 0.013727255
62     13     desgrac 0.013565579
63     13      absurd 0.013461373
64     13        sonh 0.008170288
65     13     vergonh 0.007974604
66     14        olha 0.014874538
67     14        odei 0.014065516
68     14     desgrac 0.013372635
69     14         man 0.012657134
70     14      caralh 0.011443010
71     15         man 0.012849329
72     15     desgrac 0.010326418
73     15     tristez 0.008371005
74     15 impeachment 0.007808656
75     15        olha 0.007225729
76     16    parabéns 0.015318526
77     16     vergonh 0.013053052
78     16         man 0.011080244
79     16      absurd 0.008962115
80     16     tristez 0.006448066
81     17     vergonh 0.017340931
82     17         man 0.009255155
83     17        olha 0.008342108
84     17    parabéns 0.007482612
85     17      infern 0.007301523
86     18    parabéns 0.014494762
87     18        odei 0.014109893
88     18        sonh 0.011450244
89     18      certez 0.010112909
90     18     desgrac 0.007973287
91     19     vergonh 0.015723594
92     19        odei 0.011299525
93     19     desgrac 0.010382609
94     19      caralh 0.009599504
95     19      certez 0.007693422
96     20    parabéns 0.015947838
97     20         man 0.012371887
98     20     vergonh 0.011469545
99     20        olha 0.009164512
100    20     desgrac 0.008426989
101    21    parabéns 0.013188659
102    21      caralh 0.011333015
103    21        sonh 0.010744938
104    21         man 0.010012453
105    21         lix 0.008338727
106    22     vergonh 0.017278101
107    22      caralh 0.013038170
108    22        olha 0.012035118
109    22     desgrac 0.008986149
110    22      certez 0.008264766
111    23     vergonh 0.015289761
112    23        odei 0.014359249
113    23         man 0.012914843
114    23      absurd 0.010621596
115    23     desgrac 0.008437945
116    24     vergonh 0.013611766
117    24        olha 0.011243004
118    24         man 0.011105876
119    24        sonh 0.009838637
120    24        odei 0.006926841
121    25    parabéns 0.013667653
122    25     desgrac 0.013390533
123    25     vergonh 0.011757423
124    25         man 0.011626658
125    25      caralh 0.010319576
126    26     vergonh 0.012560456
127    26        olha 0.009716144
128    26    parabéns 0.007578369
129    26      lament 0.006431193
130    26   sentiment 0.005987244
131    27     vergonh 0.014081844
132    27      certez 0.010493839
133    27        sonh 0.010113824
134    27      caralh 0.009284332
135    27         man 0.008960048
136    28     vergonh 0.013015047
137    28        odei 0.012349512
138    28    parabéns 0.011613633
139    28     desgrac 0.010878513
140    28     tristez 0.007733611
141    29      caralh 0.012571847
142    29        olha 0.011493736
143    29    parabéns 0.011372970
144    29     vergonh 0.011178427
145    29        sonh 0.010984137
146    30     vergonh 0.014150217
147    30    parabéns 0.013957501
148    30        odei 0.011420626
149    30         man 0.011399338
150    30        sonh 0.010327346
