    topic        term        beta
1       1     desgrac 0.015880446
2       1      absurd 0.011318604
3       1        odei 0.010029008
4       1      caralh 0.009556100
5       1      certez 0.007829777
6       2     vergonh 0.018744376
7       2        olha 0.015173551
8       2      caralh 0.009535874
9       2         man 0.008378952
10      2      canalh 0.007002998
11      3      caralh 0.018904937
12      3     vergonh 0.017620293
13      3     desgrac 0.013124767
14      3        olha 0.011466454
15      3        sonh 0.010466621
16      4    parabéns 0.014277520
17      4         man 0.012896516
18      4      certez 0.010629304
19      4        olha 0.009534499
20      4        sonh 0.009331095
21      5     vergonh 0.016935508
22      5         man 0.014758878
23      5        odei 0.011938444
24      5    parabéns 0.011160267
25      5        olha 0.009078298
26      6    parabéns 0.013899613
27      6     desgrac 0.012628987
28      6      certez 0.011939035
29      6     vergonh 0.010724659
30      6        odei 0.010330415
31      7        olha 0.016037324
32      7 impeachment 0.010719035
33      7      absurd 0.010261303
34      7         man 0.010204443
35      7      caralh 0.009640184
36      8        olha 0.013838695
37      8      caralh 0.009411431
38      8 impeachment 0.008905723
39      8        sonh 0.008434095
40      8      infern 0.007272981
41      9     vergonh 0.018113339
42      9      infern 0.007923886
43      9      atençã 0.006948577
44      9      canalh 0.006833311
45      9   sentiment 0.006825654
46     10    parabéns 0.017643046
47     10     vergonh 0.016817399
48     10        odei 0.012506451
49     10        burr 0.008831110
50     10      caralh 0.008049923
51     11         man 0.015072689
52     11      caralh 0.013068963
53     11     vergonh 0.010456169
54     11     desgrac 0.009667528
55     11      absurd 0.007152919
56     12    parabéns 0.015943387
57     12      caralh 0.014647206
58     12        olha 0.012073826
59     12      certez 0.011918402
60     12         man 0.010682730
61     13        olha 0.011338263
62     13      caralh 0.010616643
63     13    parabéns 0.010405950
64     13      absurd 0.009964492
65     13        sonh 0.008714540
66     14        olha 0.016701067
67     14     desgrac 0.014730436
68     14    parabéns 0.012008071
69     14      absurd 0.011405185
70     14        burr 0.009172169
71     15     vergonh 0.018996305
72     15    parabéns 0.014225155
73     15         man 0.007685115
74     15     desgrac 0.007388264
75     15          😢 0.007218258
76     16    parabéns 0.010678811
77     16        sonh 0.010521864
78     16      infern 0.009227434
79     16     tristez 0.008722726
80     16     desgrac 0.008124536
81     17     vergonh 0.018463220
82     17      caralh 0.012384214
83     17        odei 0.010424512
84     17    parabéns 0.009889565
85     17      absurd 0.009660576
86     18        olha 0.012064586
87     18      certez 0.011501703
88     18        odei 0.011351253
89     18     desgrac 0.009897802
90     18        sonh 0.009731978
91     19     desgrac 0.015406035
92     19      caralh 0.013718241
93     19     vergonh 0.013439536
94     19      absurd 0.011637605
95     19        odei 0.009501049
96     20     vergonh 0.020741738
97     20    parabéns 0.013942828
98     20          😢 0.009353515
99     20        sonh 0.008691435
100    20      caralh 0.008315458
101    21    parabéns 0.016806892
102    21         man 0.016125189
103    21        olha 0.015213197
104    21 impeachment 0.008618136
105    21        odei 0.008319821
106    22     desgrac 0.012416240
107    22      caralh 0.009418492
108    22        odei 0.008877756
109    22 impeachment 0.008672902
110    22    genocídi 0.007606598
111    23     vergonh 0.018322823
112    23         man 0.014171364
113    23        olha 0.010282793
114    23     desgrac 0.009079217
115    23        burr 0.008974539
116    24     vergonh 0.013162243
117    24      certez 0.011053361
118    24      caralh 0.009780867
119    24     tristez 0.008868025
120    24          😢 0.008469557
121    25     vergonh 0.016080796
122    25     desgrac 0.013419250
123    25    parabéns 0.009892113
124    25        burr 0.009647413
125    25        amém 0.006296976
126    26         man 0.014140534
127    26        odei 0.013462273
128    26      certez 0.010708003
129    26        sonh 0.009017497
130    26      canalh 0.007855505
131    27    parabéns 0.011551544
132    27     desgrac 0.009234088
133    27      infern 0.008680146
134    27        odei 0.008551244
135    27        sonh 0.008332903
136    28         man 0.011305459
137    28          😢 0.009229446
138    28      atençã 0.007416507
139    28      canalh 0.007131827
140    28 impeachment 0.006916836
141    29      caralh 0.016158944
142    29    parabéns 0.015716068
143    29          😢 0.008918178
144    29        olha 0.007734563
145    29        sonh 0.007346174
146    30      absurd 0.014594899
147    30         man 0.014590215
148    30        sonh 0.012048276
149    30      certez 0.011832523
150    30     desgrac 0.009994783
