    topic        term        beta
1       1      caralh 0.047639155
2       1     desgrac 0.020000000
3       1        piad 0.018080614
4       1       perdo 0.013474088
5       1          😡 0.010019194
6       2        odei 0.096906077
7       2           • 0.037974217
8       2         mit 0.012191529
9       2         vaz 0.010349908
10      2        pizz 0.009613260
11      3         man 0.102352502
12      3      crimin 0.017961165
13      3      animal 0.010119492
14      3         dir 0.009372666
15      3       moral 0.008999253
16      4        olha 0.065303826
17      4    genocídi 0.019167292
18      4       maluc 0.015041260
19      4         blá 0.012040510
20      4       chatã 0.008664666
21      5    vagabund 0.021098157
22      5        ótim 0.020722076
23      5   sentiment 0.016961264
24      5    maravilh 0.011696126
25      5      caramb 0.011696126
26      6        piad 0.026343090
27      6      lament 0.018932938
28      6     vergonh 0.015598370
29      6         ate 0.013004817
30      6     concord 0.011522786
31      7      absurd 0.052389985
32      7 impeachment 0.025455235
33      7      palhac 0.014074355
34      7      arromb 0.012177542
35      7          😪 0.009522003
36      8      milagr 0.040385314
37      8     perfeit 0.020392585
38      8       pagod 0.014940022
39      8      elimin 0.012758997
40      8       rapaz 0.010941476
41      9      caralh 0.033180952
42      9      infern 0.021752381
43      9          😢 0.016038095
44      9      😭😭😭 0.013371429
45      9         rum 0.012228571
46     10 impeachment 0.035658043
47     10        bich 0.019910011
48     10       invej 0.013160855
49     10      aprend 0.012410949
50     10    atrapalh 0.007911511
51     11     desgrac 0.068526356
52     11      estrag 0.010427087
53     11       ladrã 0.008118507
54     11        bomb 0.007348980
55     11      atençã 0.006579454
56     12     vergonh 0.120442611
57     12       legal 0.016916729
58     12      atençã 0.008289572
59     12         pic 0.006039010
60     12    credibil 0.005663916
61     13        sonh 0.066529697
62     13     eleitor 0.014232350
63     13        bomb 0.013858797
64     13      desist 0.010496825
65     13     concord 0.009376167
66     14       twitt 0.021547170
67     14         alô 0.017396226
68     14       vitór 0.016641509
69     14        anim 0.013622642
70     14   surpreend 0.009849057
71     15        burr 0.056605923
72     15       moral 0.015223994
73     15       acert 0.013705391
74     15      infern 0.011427487
75     15    atrapalh 0.010288535
76     16 impeachment 0.017914339
77     16        trem 0.017914339
78     16         saf 0.015307263
79     16         dúv 0.013445065
80     16      impact 0.013445065
81     17         lix 0.038306919
82     17        sonh 0.025164283
83     17        exat 0.025164283
84     17         man 0.009315810
85     17        fund 0.008156165
86     18      absurd 0.034261000
87     18         ora 0.011696126
88     18     pesadel 0.011320045
89     18      lament 0.010567883
90     18          👀 0.010191801
91     19     tristez 0.045041953
92     19         amo 0.036270023
93     19         dúv 0.019488940
94     19        amém 0.012242563
95     19        bund 0.011861175
96     20      caralh 0.027282769
97     20         pau 0.015132548
98     20      infern 0.014027982
99     20     tristez 0.012923417
100    20    genocídi 0.012187040
101    21    assassin 0.030444698
102    21      certez 0.019422273
103    21      nojent 0.012960851
104    21  misericórd 0.010680350
105    21         vaz 0.010300266
106    22      certez 0.060939850
107    22    genocídi 0.027105263
108    22     manchet 0.012067669
109    22      caralh 0.010939850
110    22      impact 0.009060150
111    23      atençã 0.030317578
112    23      canalh 0.017392910
113    23        amém 0.015177253
114    23         pau 0.013700148
115    23         fum 0.013700148
116    24      canalh 0.026806883
117    24         bor 0.023365201
118    24     surpres 0.014952199
119    24        desc 0.013804971
120    24    maravilh 0.010745698
121    25        ache 0.031628432
122    25     vergonh 0.025235051
123    25      lament 0.015833020
124    25         bor 0.012072208
125    25       invej 0.012072208
126    26     desgrac 0.022886519
127    26    excelent 0.020982483
128    26        olha 0.016793602
129    26         céu 0.014508759
130    26        ótim 0.010319878
131    27   sentiment 0.024510542
132    27        hein 0.021875000
133    27          😢 0.021498494
134    27      crimin 0.017733434
135    27     concord 0.016603916
136    28          😂 0.029138322
137    28          😞 0.012509448
138    28       crent 0.012131519
139    28     desgrac 0.010997732
140    28          🤬 0.010619803
141    29    parabéns 0.121836138
142    29        bost 0.023079737
143    29      orgulh 0.018690563
144    29          ué 0.012838332
145    29     cachorr 0.011741039
146    30     boletim 0.051825633
147    30       diári 0.041020864
148    30    maravilh 0.011587183
149    30         tub 0.010842027
150    30      infern 0.008606557
