    topic        term       beta
1       1        olha 0.24256073
2       1         pau 0.08539947
3       1     desgrac 0.07648621
4       1   inacredit 0.04329761
5       1      plantã 0.03785776
6       2      crimin 0.07166126
7       2           • 0.06597531
8       2      palhac 0.04405003
9       2       perdo 0.03655995
10      2      mentir 0.03642757
11      3    genocídi 0.04601783
12      3        exat 0.04473065
13      3          ✅ 0.02833584
14      3   surpreend 0.02521833
15      3          🤧 0.02504097
16      4         man 0.21018601
17      4     tristez 0.13830910
18      4        hein 0.07315894
19      4       chatã 0.05217811
20      4      convoc 0.03376604
21      5         dúv 0.08665085
22      5         bor 0.06829410
23      5          😪 0.03754136
24      5        bomb 0.03240250
25      5          🙌 0.02941281
26      6   sentiment 0.10431743
27      6        bost 0.08583079
28      6          ué 0.04316834
29      6        nord 0.04170143
30      6          😡 0.04037713
31      7      infern 0.13063640
32      7    vagabund 0.07066720
33      7    excelent 0.06113559
34      7      aprend 0.05245512
35      7     cachorr 0.02892885
36      8        ache 0.07616772
37      8          😂 0.06236693
38      8     pesadel 0.03885337
39      8       limin 0.03151264
40      8          🤬 0.03019960
41      9       enfim 0.07171822
42      9     dezembr 0.03234233
43      9      petist 0.03040310
44      9        amad 0.02909759
45      9       alerg 0.02264058
46     10     vergonh 0.30399198
47     10     ridícul 0.03126141
48     10         blá 0.02128645
49     10        anti 0.02038349
50     10        alhe 0.01729519
51     11      atençã 0.11834550
52     11     desgrac 0.10232347
53     11        viag 0.03714278
54     11         dir 0.03583641
55     11      estrag 0.03335223
56     12      orgulh 0.05447360
57     12      😭😭😭 0.04843404
58     12         duv 0.03699684
59     12         mit 0.03690777
60     12         pox 0.03678926
61     13          😢 0.10910244
62     13         eit 0.04998566
63     13        exat 0.04138141
64     13      loucur 0.03636452
65     13        glór 0.03407233
66     14         amo 0.10055381
67     14     concord 0.06564713
68     14      gatilh 0.03049051
69     14        seri 0.02724478
70     14       acert 0.02724376
71     15        odei 0.19047723
72     15        ótim 0.08757821
73     15     surpres 0.03567152
74     15         ate 0.03493046
75     15        rind 0.03421797
76     16         lix 0.11769106
77     16    maravilh 0.08977458
78     16       rinit 0.06579389
79     16        bich 0.05140148
80     16      espirr 0.04249189
81     17      certez 0.17328281
82     17      milagr 0.08993957
83     17       garot 0.02734344
84     17           ❤ 0.02411495
85     17          🤣 0.02215959
86     18      lament 0.12173594
87     18       invej 0.06237827
88     18        trem 0.05314129
89     18          😥 0.03901527
90     18         dic 0.03412156
91     19  misericórd 0.05567563
92     19       maluc 0.04560266
93     19    atrapalh 0.04225938
94     19      elimin 0.03756424
95     19     sinusit 0.03218257
96     20        burr 0.12308405
97     20       lógic 0.04641565
98     20        vinh 0.03043287
99     20       vitór 0.02791450
100    20         ora 0.02502258
101    21    parabéns 0.27099179
102    21     boletim 0.10530044
103    21       diári 0.08356099
104    21         rir 0.03283473
105    21 epidemiológ 0.02717108
106    22         céu 0.07902265
107    22       twitt 0.05599372
108    22        fund 0.04471526
109    22    guerreir 0.03820801
110    22        papa 0.03754903
111    23      caralh 0.22557158
112    23      absurd 0.16904203
113    23          😓 0.03710897
114    23        anim 0.03696481
115    23      capitã 0.03583128
116    24    assassin 0.06965764
117    24     cúmplic 0.05175478
118    24         vaz 0.04621277
119    24         rum 0.02679159
120    24         eis 0.02679035
121    25   comentári 0.06497931
122    25         alô 0.05969555
123    25    genocídi 0.04520810
124    25      resfri 0.03648062
125    25       duvid 0.01962644
126    26       rapaz 0.04290096
127    26       ladrã 0.03949829
128    26       prisã 0.02307683
129    26        limã 0.02237946
130    26     aparent 0.02043035
131    27          😞 0.06684078
132    27       etern 0.04443820
133    27          😩 0.03222653
134    27          👀 0.03006553
135    27       caval 0.02679751
136    28        sonh 0.15963342
137    28      canalh 0.12207873
138    28       moral 0.06721019
139    28       novel 0.04876816
140    28        desc 0.04497389
141    29 impeachment 0.14605219
142    29        amém 0.09675076
143    29        piad 0.08578453
144    29      arromb 0.03542856
145    29         cov 0.03418673
146    30     perfeit 0.05727958
147    30      impact 0.05393677
148    30        girã 0.03358180
149    30       resum 0.03304355
150    30        😭😭 0.03304299
