    topic        term        beta
1       1   inacredit 0.059278283
2       1      bizarr 0.021615874
3       1        rind 0.021124890
4       1       resum 0.021046485
5       1     surreal 0.020910561
6       2         céu 0.070675659
7       2        papa 0.033535029
8       2         fum 0.028303572
9       2    maravilh 0.025876702
10      2      mentir 0.021290494
11      3       vitór 0.041040088
12      3          😍 0.027946273
13      3          🥰 0.025743974
14      3       rainh 0.025356506
15      3          xô 0.024324858
16      4     vergonh 0.144405523
17      4        olha 0.119469423
18      4      certez 0.084106311
19      4      lament 0.057232025
20      4         bor 0.036040750
21      5          😣 0.023230601
22      5         amo 0.016803475
23      5  transplant 0.016132790
24      5    maracanã 0.012656246
25      5        sonh 0.010442144
26      6     tristez 0.111621907
27      6   sentiment 0.058351339
28      6          😢 0.055592362
29      6     pesadel 0.025521210
30      6     dezembr 0.019809568
31      7        diab 0.035347938
32      7          🤬 0.014714582
33      7          🤪 0.012911665
34      7      absurd 0.010390110
35      7        sonh 0.010361809
36      8     perfeit 0.051366446
37      8      impact 0.051091777
38      8     cotonet 0.024391911
39      8     estress 0.023080734
40      8        obra 0.019248755
41      9        piad 0.069149723
42      9        bich 0.038992271
43      9         rir 0.025001471
44      9   comentári 0.017618258
45      9        bund 0.016989617
46     10         bos 0.016055189
47     10      absurd 0.012055506
48     10 impeachment 0.010715843
49     10        sonh 0.009760442
50     10     boletim 0.008456387
51     11         vaz 0.037441237
52     11       perdo 0.035172572
53     11       moral 0.033353807
54     11       chatã 0.027329438
55     11       celul 0.023807342
56     12    parabéns 0.160996622
57     12      canalh 0.078267658
58     12      crimin 0.044001787
59     12       etern 0.027354834
60     12         saf 0.019369804
61     13      absurd 0.011792254
62     13        past 0.011451995
63     13 impeachment 0.010721482
64     13        sonh 0.009456604
65     13     boletim 0.008331987
66     14        odei 0.112255532
67     14           • 0.048080770
68     14  misericórd 0.019862277
69     14          ✅ 0.016596261
70     14         blá 0.014676446
71     15      absurd 0.012065464
72     15 impeachment 0.010783471
73     15        sonh 0.009804657
74     15     boletim 0.008602565
75     15      atençã 0.007728400
76     16      absurd 0.012021787
77     16 impeachment 0.010733999
78     16        sonh 0.009757292
79     16     boletim 0.008538913
80     16      atençã 0.007700669
81     17      caralh 0.140109108
82     17      milagr 0.054782218
83     17      infern 0.030527408
84     17        amém 0.028882238
85     17       rapaz 0.024492362
86     18     desgrac 0.135512321
87     18         man 0.133659472
88     18        burr 0.060938432
89     18      aprend 0.035748409
90     18       ladrã 0.021561729
91     19      absurd 0.011986551
92     19 impeachment 0.010712634
93     19        sonh 0.009733167
94     19     boletim 0.008527784
95     19      atençã 0.007679384
96     20      absurd 0.012090409
97     20 impeachment 0.010784530
98     20        sonh 0.009830856
99     20     boletim 0.008629546
100    20      atençã 0.007732820
101    21      absurd 0.012090409
102    21 impeachment 0.010784530
103    21        sonh 0.009830856
104    21     boletim 0.008629546
105    21      atençã 0.007732820
106    22      absurd 0.012077154
107    22 impeachment 0.010574254
108    22  fornecedor 0.010534700
109    22        sonh 0.009783313
110    22     boletim 0.008730675
111    23      absurd 0.012041866
112    23 impeachment 0.010706253
113    23        sonh 0.009935944
114    23     boletim 0.008724194
115    23      atençã 0.007647323
116    24    genocídi 0.086422408
117    24        ótim 0.058921507
118    24     cúmplic 0.035192222
119    24    excelent 0.026086648
120    24      desist 0.023136403
121    25      absurd 0.011934745
122    25 impeachment 0.011819702
123    25        sonh 0.009798158
124    25     boletim 0.008458828
125    25      atençã 0.007675105
126    26      absurd 0.010960943
127    26 impeachment 0.009918498
128    26        sonh 0.008906816
129    26     boletim 0.007847153
130    26      atençã 0.007071549
131    27         pau 0.045639383
132    27       lógic 0.032678043
133    27     eleitor 0.019383225
134    27        lasc 0.018328359
135    27     definit 0.017957337
136    28    vagabund 0.054490275
137    28       legal 0.037824693
138    28        ache 0.031964566
139    28       rinit 0.027484741
140    28         cov 0.018561886
141    29      absurd 0.011201587
142    29        brej 0.008592279
143    29        mach 0.008280099
144    29         amo 0.007159692
145    29       olhem 0.005057754
146    30 impeachment 0.011050088
147    30      absurd 0.010706192
148    30        sonh 0.010312591
149    30      atençã 0.008066817
150    30     boletim 0.007789312
